source	target
ZNHIT2	RUVBL1
ZNHIT2	RUVBL2
ZNHIT2	PIH1D1
ZNHIT2	RPAP3
ZNHIT2	PFDN2
ZNHIT2	URI1
ZNHIT2	WDR92
PPP1R7	PIH1D1
PPP1R7	URI1
PPP1R7	PDRG1
PPP1R7	RPAP3
PPP1R7	UXT
PPP1R7	WDR92
PRPF19	PFDN1
PRPF19	VBP1
PRPF19	PFDN5
PPP1CA	PIH1D1
PPP1CA	RPAP3
PPP1CA	UXT
PPP1CA	URI1
PPP1CA	RUVBL1
PPP1CA	RUVBL2
PPP1CA	URI1
PPP1CA	PDRG1
PPP1CA	WDR92
PPP1CA	PFDN6
PPP1CA	PFDN2
PPP1CA	CCT6A
POLR3E	PIH1D1
POLR3E	URI1
POLR3E	PDRG1
POLR3E	RPAP3
POLR3E	PFDN2
POLR3E	PFDN6
POLR3E	UXT
POLR3E	WDR92
POLR3E	PDRG1
POLR3E	RUVBL2
POLR3B	PIH1D1
POLR3B	URI1
POLR3B	RPAP3
POLR3B	UXT
POLR3B	WDR92
POLR3B	PDRG1
POLR3B	PFDN2
POLR3B	PFDN6
POLR2A	PIH1D1
POLR2A	URI1
POLR2A	RPAP3
POLR2A	UXT
POLR2A	WDR92
POLR2A	PDRG1
POLR2A	RUVBL2
POLR2A	PFDN2
POLR2H	RPAP3
POLR2H	RUVBL2
POLR2H	UXT
POLR2H	WDR92
POLR2H	PDRG1
POLR2H	PFDN2
POLR1C	URI1
POLR1C	RUVBL1
POLR1C	RPAP3
POLR1C	WDR92
POLR1C	PDRG1
POLR1C	PFDN2
POLR1C	PFDN6
POLR1C	PIH1D1
POLR1C	CCT3
POLR3D	UXT
POLR3D	PIH1D1
POLR3D	RPAP3
POLR3D	WDR92
POLR3D	PDRG1
POLR3D	PFDN2
POLR3D	PFDN6
POLR2E	PIH1D1
POLR2E	URI1
POLR2E	RUVBL1
POLR2E	RUVBL2
POLR2E	RPAP3
POLR2E	UXT
POLR2E	WDR92
POLR2E	PDRG1
POLR2E	PFDN2
POLR2E	PFDN6
POLR3A	PIH1D1
POLR3A	URI1
POLR3A	RUVBL1
POLR3A	RUVBL2
POLR3A	RPAP3
POLR3A	UXT
POLR3A	WDR92
POLR3A	PDRG1
POLR3A	PFDN2
POLR3A	PFDN6
ASDURF	UXT
ASDURF	URI1
PRPF8	RPAP3
PRPF8	URI1
PRPF8	RUVBL1
PRPF8	RUVBL2
PRPF8	PFDN2
PRPF8	WDR92
PRPF8	PDRG1
PRPF8	PIH1D1
PRPF8	TCP1
PRPF8	CCT2
PRPF8	CCT3
PRPF8	CCT7
PRPF8	CCT8
POLR2B	PIH1D1
POLR2B	URI1
POLR2B	RUVBL1
POLR2B	RUVBL2
POLR2B	RPAP3
POLR2B	WDR92
POLR2B	PDRG1
POLR1A	UXT
POLR1A	PIH1D1
POLR1A	URI1
POLR1A	PDRG1
POLR1A	RUVBL1
POLR1A	RUVBL2
POLR1A	POLR2E
POLR1A	PFDN2
POLR1A	PFDN6
POLR1A	RPAP3
POLR1A	WDR92
NSFL1C	CCT2
PAK2	CCT2
HSPE1	CCT2
HSPE1	CCT3
HSPE1	CCT4
HSPE1	CCT5
DNAJA1	CCT2
DNAJA1	CCT3
DNAJA1	CCT6A
DNAJA1	CCT6B
DNAJA1	PIH1D1
TXNL1	CCT2
TXNL1	CCT4
TXNL1	CCT5
TXNL1	PIH1D1
EEF1D	CCT2
EEF1D	CCT6A
EEF1D	CCT7
EEF1D	PIH1D1
DLST	CCT2
DLST	CCT7
PDHA1	CCT2
PDHA1	CCT8
PDHA1	RUVBL2
EEF2	CCT2
EEF2	PIH1D1
CHMP4B	CCT2
CHMP4B	RUVBL2
PSMA5	CCT3
HNRNPA0	CCT3
WARS	CCT3
STAT3	CCT3
EPS15	CCT3
GEMIN4	CCT3
MCM7	CCT3
MCM7	CCT4
PSMA6	CCT3
PSMA6	CCT4
PSMA6	CCT5
PSMA6	CCT8
VARS	CCT3
VARS	CCT4
VARS	PIH1D1
LDHB	CCT3
LDHB	CCT6A
LDHB	CCT6B
LDHB	PIH1D1
CLTC	CCT3
CLTC	CCT6A
CLTC	CCT6B
CLTC	PIH1D1
LDHA	CCT3
LDHA	CCT6B
LDHA	PIH1D1
PSMA2	CCT3
PSMA2	CCT7
LAMC1	CCT3
LAMC1	CCT7
EEF1G	CCT3
EEF1G	CCT7
EEF1G	PIH1D1
MARS	CCT3
MARS	PIH1D1
CUL5	CCT4
ELP1	CCT5
PSMB1	CCT5
PSMB1	CCT7
TECR	CCT6A
SUPT16H	CCT6A
PC	CCT6A
PC	CCT3
EIF4B	CCT6A
EIF4B	CCT6B
IDH3A	CCT6A
IDH3A	CCT6B
IDH3A	CCT8
IDH3A	PIH1D1
USP5	CCT6A
USP5	PIH1D1
ACADM	CCT6B
SLIRP	CCT7
STRAP	CCT7
SHMT2	CCT7
CRMP1	CCT7
MOV10	CCT7
ENO1	CCT7
ENO1	PIH1D1
DNM2	CCT7
DNM2	RUVBL2
PARK7	CCT8
NELFB	CCT8
KARS1	CCT8
KARS1	PIH1D1
STUB1	HSP90AA1
STUB1	HSP4
STUB1	CCT5
STUB1	CCT7
AASS	HSP90AA1
AASS	HSP90AB1
GDI2	Not Reported
MAN2C1	Not Reported
HNRNPD	PDRG1
BTF3	PDRG1
RPS3A	PDRG1
RPS3A	CCT6A
DDB2	PDRG1
DDB2	TCP1
DDB2	CCT2
DDB2	CCT3
DDB2	CCT4
DDB2	CCT5
DDB2	CCT6A
DDB2	CCT7
DDB2	CCT8
DDB2	PFDN2
DDB2	PFDN4
DDB2	PFDN5
RPS28	PFDN1
BRK1	PFDN1
TSN	PFDN1
RNPS1	PFDN1
PDHB	PFDN1
HARS	PFDN1
P3H1	PFDN1
EIF3C	PFDN1
SEC31A	PFDN1
SPTBN4	PFDN1
TUBA1A	PFDN1
TUBA1A	PFDN2
TUBA1A	VBP1
TUBA1A	PFDN4
TUBA1A	PFDN5
TUBA1A	PFDN6
TUBA1A	PDRG1
TUBA1A	RUVBL1
TUBA1A	RUVBL2
TUBA1A	TCP1
TUBA1A	CCT2
TUBA1A	CCT3
TUBA1A	CCT4
TUBA1A	CCT5
TUBA1A	CCT6A
TUBA1A	CCT6B
TUBA1A	CCT7
TUBA1A	CCT8
ERCC8	PFDN1
ERCC8	PFDN2
ERCC8	VBP1
ERCC8	PFDN4
ERCC8	PFND5
ERCC8	PFDN6
ERCC8	RUVBL2
ERCC8	TCP1
ERCC8	CCT2
ERCC8	CCT3
ERCC8	CCT4
ERCC8	CCT5
ERCC8	CCT6A
ERCC8	CCT7
ERCC8	CCT8
PUS1	PFDN1
PUS1	PFDN4
PUS1	PFDN5
NSUN2	PFDN1
NSUN2	PFDN5
NSUN2	PIH1D1
PSME1	PFDN1
PSME1	PIH1D1
UGGT1	PFDN1
UGGT1	PIH1D1
GEMIN5	PFDN1
GEMIN5	PIH1D1
GEMIN5	RUVBL1
STMN1	PFDN2
SARS	PFDN2
CD2AP	PFDN2
DNM1L	PFDN2
DNM1L	CCT2
DNM1L	CCT7
DNM1L	CCT8
DNM1L	RUVBL1
DNM1L	RUVBL2
P4HB	PFDN2
P4HB	CCT4
P4HB	CCT7
NUP50	PFDN2
NUP50	PFDN4
SLMAP	PFDN2
SLMAP	PFDN4
SLMAP	PFDN6
SNRNP40	PFDN2
SNRNP40	PFDN6
SUPT6H	PFDN2
SUPT6H	PIH1D1
SUPT6H	VBP1
SUPT6H	URI1
SUPT6H	UXT
SUPT6H	PIH1D1
COPS5	PFDN2
COPS5	RUVBL1
COPS5	TCP1
COPS5	CCT2
COPS5	CCT4
COPS5	CCT8
COPS5	POLR2E
DTL	PFDN2
DTL	TCP1
DTL	CCT2
DTL	CCT3
DTL	CCT4
DTL	CCT5
DTL	CCT6B
DTL	CCT7
DTL	CCT8
GRPEL1	PFDN4
RAN	PFDN4
RAN	PIH1D1
MSH2	PFDN4
MSH2	PIH1D1
MRPL45	PFDN5
PSMD8	PFDN5
NIF3L1	PFDN5
TFG	PFDN5
PSMC4	PFDN5
PDIA6	PFDN5
PPP2R5D	PFDN5
SIN3A	PFDN5
AARS	PFDN5
AARS	PIH1D1
PSMA4	PFDN5
PSMA4	PIH1D1
PSME3	PFDN5
PSME3	PIH1D1
RPA1	PFDN5
RPA1	RUVBL2
TRIM28	PFDN5
TRIM28	TCP1
TRIM28	CCT2
TRIM28	CCT3
TRIM28	CCT5
TRIM28	CCT7
TRIM28	CCT8
TRIM28	URI1
TRIM28	RUVBL1
TRIM28	RUVBL2
TRIM28	PIH1D1
AARS2	PFDN5
AARS2	VBP1
RBBP7	PFDN6
