protA	protB	WD
MRPS14	AARS	0.0
MRPS16	AARS	0.0
MRPS17	AARS	0.0
MRPS2	AARS	0.0
MRPS22	AARS	0.0
MRPS23	AARS	0.0
MRPS27	AARS	0.0
MRPS30	AARS	0.0
MRPS31	AARS	0.0
MRPS34	AARS	0.0
MRPS35	AARS	0.0
MRPS7	AARS	0.0
MTA2	AARS	0.0
MTHFD1	AARS	0.0
MYBBP1A	AARS	0.0
MYH10	AARS	0.0
MYH9	AARS	0.0
MYL6	AARS	0.0
NANS	AARS	0.0
NAP1L1	AARS	0.0
NASP	AARS	0.0
NCKAP1	AARS	0.0
NCL	AARS	0.0
NME1	AARS	0.0
NPEPPS	AARS	0.0
NPM1	AARS	0.0
NSF	AARS	0.0
NSUN2	AARS	0.0
NUDT21	AARS	0.0
NUFIP2	AARS	0.0
NUMA1	AARS	0.0
NUP107	AARS	0.0
NUP133	AARS	0.0
NUP155	AARS	0.0
NUP210	AARS	0.0
NUP85	AARS	0.0
NUP93	AARS	0.0
NUP98	AARS	0.0
OAT	AARS	0.0
OGDH	AARS	0.0
P4HA1	AARS	0.0
P4HB	AARS	0.0
PABPC1	AARS	0.0
PABPC4	AARS	0.0
PABPN1	AARS	0.0
PAICS	AARS	0.0
PARP1	AARS	0.0
PC	AARS	0.0
PCBD1	AARS	0.0
PCBP1	AARS	0.0
PCMT1	AARS	0.0
PDHA1	AARS	0.0
PDHB	AARS	0.0
PDHX	AARS	0.0
PDIA3	AARS	0.0
PDIA6	AARS	0.0
PDRG1	AARS	0.0
PDXK	AARS	0.0
PFDN2	AARS	0.0
PFDN4	AARS	0.0
PFDN5	AARS	0.0
PFDN6	AARS	0.0
PFKP	AARS	0.0
PGAM5	AARS	0.0
PGD	AARS	0.0
PGK1	AARS	0.0
PHB	AARS	0.0
PHB2	AARS	0.0
PHGDH	AARS	0.0
PIH1D1	AARS	0.0
PIP	AARS	0.0
PKM	AARS	0.0
PKP1	AARS	0.0
PLS3	AARS	0.0
PMPCB	AARS	0.0
PNN	AARS	0.0
PNP	AARS	0.0
PODXL	AARS	0.0
POF1B	AARS	0.0
POLR1A	AARS	0.0
POLR1C	AARS	0.0
POLR2A	AARS	0.0
POLR2B	AARS	0.0
POLR2C	AARS	0.0
POLR2E	AARS	0.0
POLR2H	AARS	0.0
POLR3A	AARS	0.0
POLR3B	AARS	0.0
POLR3D	AARS	0.0
PPAT	AARS	0.0
PPIA	AARS	0.0
PPIB	AARS	0.0
PPP1CA	AARS	0.0
PPP1CC	AARS	0.0
PPP1R2	AARS	0.0
PPP1R7	AARS	0.0
PPP2R1A	AARS	0.0
PPP2R2A	AARS	0.0
PRDX1	AARS	0.0
PRDX2	AARS	0.0
PRDX3	AARS	0.0
PRDX4	AARS	0.0
PRDX6	AARS	0.0
PRKCSH	AARS	0.0
PRKDC	AARS	0.0
PRMT1	AARS	0.0
PRMT5	AARS	0.0
PRPF19	AARS	0.0
PRPF40A	AARS	0.0
PRPF8	AARS	0.0
PRSS3P2	AARS	0.0
PSAT1	AARS	0.0
PSMA6	AARS	0.0
PSMA7	AARS	0.0
PSMB1	AARS	0.0
PSMB2	AARS	0.0
PSMB3	AARS	0.0
PSMB4	AARS	0.0
PSMB5	AARS	0.0
PSMB7	AARS	0.0
PSMC1	AARS	0.0
PSMC2	AARS	0.0
PSMC3	AARS	0.0
PSMC4	AARS	0.0
PSMC5	AARS	0.0
PSMC6	AARS	0.0
PSMD1	AARS	0.0
PSMD12	AARS	0.0
PSMD13	AARS	0.0
PSMD14	AARS	0.0
PSMD2	AARS	0.0
PSMD3	AARS	0.0
PSMD4	AARS	0.0
PSMD6	AARS	0.0
PSMD7	AARS	0.0
PSMD8	AARS	0.0
PSME1	AARS	0.0
PTBP1	AARS	0.0
PTCD3	AARS	0.0
PUF60	AARS	0.0
QARS	AARS	0.0
RACK1	AARS	0.0
RAD50	AARS	0.0
RALY	AARS	0.0
RAN	AARS	0.0
RANBP1	AARS	0.0
RANBP2	AARS	0.0
RANBP9	AARS	0.0
RANGAP1	AARS	0.0
RARS	AARS	0.0
RBM25	AARS	0.0
RBM39	AARS	0.0
RBMX	AARS	0.0
RCN1	AARS	0.0
RNPS1	AARS	0.0
RPAP3	AARS	0.0
RPL10	AARS	0.0
RPL11	AARS	0.0
RPL12	AARS	0.0
RPL13	AARS	0.0
RPL13A	AARS	0.0
RPL14	AARS	0.0
RPL15	AARS	0.0
RPL17	AARS	0.0
RPL18	AARS	0.0
RPL18A	AARS	0.0
RPL19	AARS	0.0
RPL22	AARS	0.0
RPL23	AARS	0.0
RPL23A	AARS	0.0
RPL24	AARS	0.0
RPL27	AARS	0.0
RPL27A	AARS	0.0
RPL28	AARS	0.0
RPL3	AARS	0.0
RPL30	AARS	0.0
RPL31	AARS	0.0
RPL35A	AARS	0.0
RPL36	AARS	0.0
RPL4	AARS	0.0
RPL6	AARS	0.0
RPL7	AARS	0.0
RPL7A	AARS	0.0
RPL8	AARS	0.0
RPL9	AARS	0.0
RPLP0	AARS	0.0
RPLP2	AARS	0.0
RPN1	AARS	0.0
RPN2	AARS	0.0
RPS10	AARS	0.0
RPS11	AARS	0.0
RPS13	AARS	0.0
RPS14	AARS	0.0
RPS15A	AARS	0.0
RPS16	AARS	0.0
RPS18	AARS	0.0
RPS2	AARS	0.0
RPS20	AARS	0.0
RPS23	AARS	0.0
RPS24	AARS	0.0
RPS25	AARS	0.0
RPS26	AARS	0.0
RPS27	AARS	0.0
RPS3	AARS	0.0
RPS3A	AARS	0.0
RPS4X	AARS	0.0
RPS5	AARS	0.0
RPS6	AARS	0.0
RPS7	AARS	0.0
RPS8	AARS	0.0
RPS9	AARS	0.0
RPSA	AARS	0.0
RRP12	AARS	0.0
RSL1D1	AARS	0.0
RUVBL1	AARS	0.0
RUVBL2	AARS	0.0
S100A7	AARS	0.0
SAFB	AARS	0.0
SAP18	AARS	0.0
SDHA	AARS	0.0
SDHB	AARS	0.0
SEC61A1	AARS	0.0
SET	AARS	0.0
SF3A1	AARS	0.0
SF3A3	AARS	0.0
SF3B1	AARS	0.0
SF3B2	AARS	0.0
SF3B3	AARS	0.0
SF3B6	AARS	0.0
SFPQ	AARS	0.0
SHMT2	AARS	0.0
SLC16A1	AARS	0.0
SLC1A5	AARS	0.0
SLC25A1	AARS	0.0
SLC25A3	AARS	0.0
SLC25A5	AARS	0.0
SLC25A6	AARS	0.0
SLC3A2	AARS	0.0
SLMAP	AARS	0.0
SMARCA4	AARS	0.0
SMARCC2	AARS	0.0
SMARCE1	AARS	0.0
SMC1A	AARS	0.0
SMC2	AARS	0.0
SMC3	AARS	0.0
SMC4	AARS	0.0
SMCHD1	AARS	0.0
SMN1	AARS	0.0
SNAP23	AARS	0.0
SNRNP200	AARS	0.0
SNRNP40	AARS	0.0
SNRNP70	AARS	0.0
SNRPA	AARS	0.0
SNRPA1	AARS	0.0
SNRPC	AARS	0.0
SNRPD1	AARS	0.0
SNRPD2	AARS	0.0
SNRPD3	AARS	0.0
SNRPE	AARS	0.0
SOD1	AARS	0.0
SPTAN1	AARS	0.0
SPTBN1	AARS	0.0
SRRT	AARS	0.0
SRSF1	AARS	0.0
SRSF10	AARS	0.0
SRSF3	AARS	0.0
SRSF4	AARS	0.0
SRSF6	AARS	0.0
SRSF7	AARS	0.0
SRSF9	AARS	0.0
SSB	AARS	0.0
SSBP1	AARS	0.0
STAT3	AARS	0.0
STIP1	AARS	0.0
STOML2	AARS	0.0
SYNCRIP	AARS	0.0
TCP1	AARS	0.0
TECR	AARS	0.0
TFRC	AARS	0.0
THOC1	AARS	0.0
THOC2	AARS	0.0
THOC6	AARS	0.0
TIMM50	AARS	0.0
TLN1	AARS	0.0
TMED10	AARS	0.0
TNPO1	AARS	0.0
TPI1	AARS	0.0
TPM3	AARS	0.0
TPM4	AARS	0.0
TPR	AARS	0.0
TRA2A	AARS	0.0
TRA2B	AARS	0.0
TRAP1	AARS	0.0
TRIM28	AARS	0.0
TUBA1B	AARS	0.0
TUBB	AARS	0.0
TUBB2B	AARS	0.0
TUBB4B	AARS	0.0
TUBB6	AARS	0.0
TUFM	AARS	0.0
U2AF2	AARS	0.0
UBA1	AARS	0.0
UBA2	AARS	0.0
UBR4	AARS	0.0
UGGT1	AARS	0.0
URI1	AARS	0.0
USO1	AARS	0.0
USP21	AARS	0.0
USP5	AARS	0.0
UXT	AARS	0.0
VARS	AARS	0.0
VCL	AARS	0.0
VDAC1	AARS	0.0
VDAC2	AARS	0.0
VIM	AARS	0.0
VPS26A	AARS	0.0
VPS35	AARS	0.0
WARS	AARS	0.0
WDR1	AARS	0.0
WDR77	AARS	0.0
WDR92	AARS	0.0
WRNIP1	AARS	0.0
XPNPEP1	AARS	0.0
XPO1	AARS	0.0
XRCC5	AARS	0.0
XRCC6	AARS	0.0
YBX1	AARS	0.0
ZNF326	AARS	0.0
ACAA2	ACAA2	0.0
ACADM	ACAA2	0.0
ACAT1	ACAA2	0.0
ACIN1	ACAA2	0.0
ACLY	ACAA2	0.0
ACTL6A	ACAA2	0.0
ACTN1	ACAA2	0.0
ACTR1A	ACAA2	0.0
ADAR	ACAA2	0.0
ADSS2	ACAA2	0.0
AHCY	ACAA2	0.0
AIFM1	ACAA2	0.0
AIMP1	ACAA2	0.0
AIMP2	ACAA2	0.0
AKR7A2	ACAA2	0.0
ALB	ACAA2	0.0
ALDH18A1	ACAA2	0.0
ALDH1A2	ACAA2	0.0
ALDH1B1	ACAA2	0.0
ALDH2	ACAA2	0.0
ALDH9A1	ACAA2	0.0
ALDOA	ACAA2	0.0
ALYREF	ACAA2	0.0
APEH	ACAA2	0.0
ARCN1	ACAA2	0.0
ARG1	ACAA2	0.0
ASDURF	ACAA2	0.0
ASNS	ACAA2	0.0
ATAD3A	ACAA2	0.0
ATIC	ACAA2	0.0
ATP1A1	ACAA2	0.0
ATP1B3	ACAA2	0.0
ATP2A2	ACAA2	0.0
ATP5F1A	ACAA2	0.0
ATP5F1B	ACAA2	0.0
ATP5F1C	ACAA2	0.0
ATP5MF	ACAA2	0.0
ATP5MG	ACAA2	0.0
ATP5PB	ACAA2	0.0
ATP5PD	ACAA2	0.0
ATP5PO	ACAA2	0.0
ATXN2L	ACAA2	0.0
BAG6	ACAA2	0.0
BASP1	ACAA2	0.0
BCAP31	ACAA2	0.0
BCKDHB	ACAA2	0.0
BCKDK	ACAA2	0.0
BLMH	ACAA2	0.0
BRIX1	ACAA2	0.0
BSG	ACAA2	0.0
CAD	ACAA2	0.0
CALU	ACAA2	0.0
CAND1	ACAA2	0.0
CANX	ACAA2	0.0
CAP1	ACAA2	0.0
CAPRIN1	ACAA2	0.0
CBR1	ACAA2	0.0
CCAR1	ACAA2	0.0
CCAR2	ACAA2	0.0
CCT2	ACAA2	0.0
CCT3	ACAA2	0.0
CCT4	ACAA2	0.0
CCT5	ACAA2	0.0
CCT6A	ACAA2	0.0
CCT7	ACAA2	0.0
CCT8	ACAA2	0.0
CDK1	ACAA2	0.0
CHD4	ACAA2	0.0
CHERP	ACAA2	0.0
CKAP4	ACAA2	0.0
CLIC4	ACAA2	0.0
CLTA	ACAA2	0.0
CLTB	ACAA2	0.0
CLTC	ACAA2	0.0
CNDP2	ACAA2	0.0
CNOT1	ACAA2	0.0
COG1	ACAA2	0.0
COPA	ACAA2	0.0
COPB1	ACAA2	0.0
COPB2	ACAA2	0.0
COPG1	ACAA2	0.0
COPS4	ACAA2	0.0
CORO1C	ACAA2	0.0
CPOX	ACAA2	0.0
CPSF6	ACAA2	0.0
CS	ACAA2	0.0
CSE1L	ACAA2	0.0
CYFIP1	ACAA2	0.0
DAP3	ACAA2	0.0
DARS	ACAA2	0.0
DBN1	ACAA2	0.0
DBT	ACAA2	0.0
DCD	ACAA2	0.0
DCTN1	ACAA2	0.0
DCTN2	ACAA2	0.0
DDB1	ACAA2	0.0
DDOST	ACAA2	0.0
DDX17	ACAA2	0.0
DDX18	ACAA2	0.0
DDX21	ACAA2	0.0
DDX39B	ACAA2	0.0
DDX3X	ACAA2	0.0
DDX46	ACAA2	0.0
DDX5	ACAA2	0.0
DDX6	ACAA2	0.0
DHX15	ACAA2	0.0
DHX9	ACAA2	0.0
DIAPH1	ACAA2	0.0
DLAT	ACAA2	0.0
DLD	ACAA2	0.0
DLST	ACAA2	0.0
DNAJB11	ACAA2	0.0
DPCD	ACAA2	0.0
DPM1	ACAA2	0.0
DPYSL2	ACAA2	0.0
DSG1	ACAA2	0.0
DYNC1H1	ACAA2	0.0
DYNC1I2	ACAA2	0.0
DYNC1LI1	ACAA2	0.0
DYNC1LI2	ACAA2	0.0
ECH1	ACAA2	0.0
ECHS1	ACAA2	0.0
ECI1	ACAA2	0.0
EEA1	ACAA2	0.0
EEF1B2	ACAA2	0.0
EEF1D	ACAA2	0.0
EEF1E1	ACAA2	0.0
EEF1G	ACAA2	0.0
EEF2	ACAA2	0.0
EFTUD2	ACAA2	0.0
EIF3A	ACAA2	0.0
EIF3B	ACAA2	0.0
EIF3C	ACAA2	0.0
EIF3D	ACAA2	0.0
EIF3E	ACAA2	0.0
EIF3F	ACAA2	0.0
EIF3G	ACAA2	0.0
EIF3H	ACAA2	0.0
EIF3I	ACAA2	0.0
EIF3L	ACAA2	0.0
EIF3M	ACAA2	0.0
EIF4A1	ACAA2	0.0
EIF4A3	ACAA2	0.0
EIF4G1	ACAA2	0.0
EIF5A	ACAA2	0.0
ELAVL1	ACAA2	0.0
ENO1	ACAA2	0.0
ENO2	ACAA2	0.0
EPPK1	ACAA2	0.0
EPRS	ACAA2	0.0
ERLIN2	ACAA2	0.0
ESYT1	ACAA2	0.0
FASN	ACAA2	0.0
FBL	ACAA2	0.0
FDPS	ACAA2	0.0
FH	ACAA2	0.0
FKBP10	ACAA2	0.0
FKBP4	ACAA2	0.0
FLG2	ACAA2	0.0
FLNA	ACAA2	0.0
FLNB	ACAA2	0.0
FTH1	ACAA2	0.0
FUBP1	ACAA2	0.0
GADD45GIP1	ACAA2	0.0
GANAB	ACAA2	0.0
GAPDH	ACAA2	0.0
GART	ACAA2	0.0
GCN1	ACAA2	0.0
GDI2	ACAA2	0.0
GEMIN4	ACAA2	0.0
GLA	ACAA2	0.0
GOLIM4	ACAA2	0.0
GPS1	ACAA2	0.0
GRPEL1	ACAA2	0.0
GSTO1	ACAA2	0.0
GYS1	ACAA2	0.0
H4C1	ACAA2	0.0
HACD3	ACAA2	0.0
HADHA	ACAA2	0.0
HADHB	ACAA2	0.0
HAGH	ACAA2	0.0
HAT1	ACAA2	0.0
HBB	ACAA2	0.0
HDAC2	ACAA2	0.0
HDAC6	ACAA2	0.0
HM13	ACAA2	0.0
HMGCS1	ACAA2	0.0
HNRNPA0	ACAA2	0.0
HNRNPA1	ACAA2	0.0
HNRNPA2B1	ACAA2	0.0
HNRNPA3	ACAA2	0.0
HNRNPAB	ACAA2	0.0
HNRNPC	ACAA2	0.0
HNRNPD	ACAA2	0.0
HNRNPDL	ACAA2	0.0
HNRNPF	ACAA2	0.0
HNRNPH1	ACAA2	0.0
HNRNPH3	ACAA2	0.0
HNRNPK	ACAA2	0.0
HNRNPL	ACAA2	0.0
HNRNPM	ACAA2	0.0
HNRNPR	ACAA2	0.0
HNRNPU	ACAA2	0.0
HNRNPUL2	ACAA2	0.0
HPRT1	ACAA2	0.0
HSD17B10	ACAA2	0.0
HSD17B12	ACAA2	0.0
HSP90AA1	ACAA2	0.0
