protA	protB	qvalues
SF3B1	ACAA2	0.0
SF3B2	ACAA2	0.0
SF3B3	ACAA2	0.0
SF3B6	ACAA2	0.0
SFPQ	ACAA2	0.0
SHMT2	ACAA2	0.0
SLC16A1	ACAA2	0.0
SLC1A5	ACAA2	0.0
SLC25A1	ACAA2	0.0
SLC25A3	ACAA2	0.0
SLC25A5	ACAA2	0.0
SLC25A6	ACAA2	0.0
SLC3A2	ACAA2	0.0
SLMAP	ACAA2	0.0
SMARCA4	ACAA2	0.0
SMARCC2	ACAA2	0.0
SMARCE1	ACAA2	0.0
SMC1A	ACAA2	0.0
SMC2	ACAA2	0.0
SMC4	ACAA2	0.0
SMCHD1	ACAA2	0.0
SNAP23	ACAA2	0.0
SNRNP200	ACAA2	0.0
SNRNP40	ACAA2	0.0
SNRNP70	ACAA2	0.0
SNRPA	ACAA2	0.0
SNRPA1	ACAA2	0.0
SNRPD1	ACAA2	0.0
SNRPD2	ACAA2	0.0
SNRPD3	ACAA2	0.0
SNRPE	ACAA2	0.0
SPTAN1	ACAA2	0.0
SPTBN1	ACAA2	0.0
SRRT	ACAA2	0.0
SRSF3	ACAA2	0.0
SRSF4	ACAA2	0.0
SRSF6	ACAA2	0.0
SRSF7	ACAA2	0.0
SSB	ACAA2	0.0
SSBP1	ACAA2	0.0
STAT3	ACAA2	0.0
STOML2	ACAA2	0.0
SYNCRIP	ACAA2	0.0
TCP1	ACAA2	0.0
TECR	ACAA2	0.0
TFRC	ACAA2	0.0
TIMM50	ACAA2	0.0
TLN1	ACAA2	0.0
TNPO1	ACAA2	0.0
TPI1	ACAA2	0.0
TPM3	ACAA2	0.0
TPM4	ACAA2	0.0
TPR	ACAA2	0.0
TRA2A	ACAA2	0.0
TRA2B	ACAA2	0.0
TRAP1	ACAA2	0.0
TRIM28	ACAA2	0.0
TUBA1B	ACAA2	0.0
TUBB	ACAA2	0.0
TUBB2B	ACAA2	0.0
TUBB4B	ACAA2	0.0
TUBB6	ACAA2	0.0
TUFM	ACAA2	0.0
U2AF2	ACAA2	0.0
UBA1	ACAA2	0.0
UBA2	ACAA2	0.0
UBR4	ACAA2	0.0
UGGT1	ACAA2	0.0
URI1	ACAA2	0.0
USO1	ACAA2	0.0
UXT	ACAA2	0.0
VARS	ACAA2	0.0
VCL	ACAA2	0.0
VDAC1	ACAA2	0.0
VDAC2	ACAA2	0.0
VIM	ACAA2	0.0
VPS26A	ACAA2	0.0
VPS35	ACAA2	0.0
WARS	ACAA2	0.0
WDR1	ACAA2	0.0
WDR77	ACAA2	0.0
WDR92	ACAA2	0.0
WRNIP1	ACAA2	0.0
XPNPEP1	ACAA2	0.0
XRCC5	ACAA2	0.0
XRCC6	ACAA2	0.0
YBX1	ACAA2	0.0
ZNF326	ACAA2	0.0
ACADM	ACADM	0.0
ACAT1	ACADM	0.0
ACIN1	ACADM	0.0
ACLY	ACADM	0.0
ACTL6A	ACADM	0.0
ACTR1A	ACADM	0.0
ADSS2	ACADM	0.0
AHCY	ACADM	0.0
AIFM1	ACADM	0.0
AIMP1	ACADM	0.0
AIMP2	ACADM	0.0
ALB	ACADM	0.0
ALDH18A1	ACADM	0.0
ALDH1A2	ACADM	0.0
ALDH1B1	ACADM	0.0
ALDH2	ACADM	0.0
ALDOA	ACADM	0.0
ALYREF	ACADM	0.0
ARCN1	ACADM	0.0
ASDURF	ACADM	0.0
ATIC	ACADM	0.0
ATP1A1	ACADM	0.0
ATP1B3	ACADM	0.0
ATP2A2	ACADM	0.0
ATP5F1A	ACADM	0.0
ATP5F1B	ACADM	0.0
ATP5F1C	ACADM	0.0
ATP5MF	ACADM	0.0
ATP5MG	ACADM	0.0
ATP5PB	ACADM	0.0
ATP5PD	ACADM	0.0
ATP5PO	ACADM	0.0
ATXN2L	ACADM	0.0
BAG6	ACADM	0.0
BASP1	ACADM	0.0
BCAP31	ACADM	0.0
BSG	ACADM	0.0
CAD	ACADM	0.0
CAND1	ACADM	0.0
CANX	ACADM	0.0
CAP1	ACADM	0.0
CAPRIN1	ACADM	0.0
CCAR1	ACADM	0.0
CCAR2	ACADM	0.0
CCT2	ACADM	0.0
CCT8	ACADM	0.0
